# KN5000 effects-DSP (NEC uPD6383GF) distinct-program manifest -- GENERATED by dsp/tools/gen_dsp_disasm.py
# rep	effect_name	unit	load	words	classA	named	slots	family	confidence	listing	role
0	NO OPERATION	0	84	49	8	0	42	dynamics	medium	prog00_no_operation.dsm	dry pass-through that still runs a level detector (2/pi env, one-pole smoothers); shared by 42 effect slots
1	CHORUS	0	84	70	19	2	1	modulation	high	prog01_chorus.dsm	quadrature 2-voice chorus (LFO-swept delay, wet 0.25/0.15)
2	MODULATED CHORUS	0	84	85	25	5	1	modulation	high	prog02_modulated_chorus.dsm	modulated chorus: dual-rate ensemble
3	ENHANCER	0	84	99	26	18	1	filter	medium	prog03_enhancer.dsm	enhancer: phase/emphasis shaping
4	FLANGER	0	84	65	18	2	1	modulation	medium	prog04_flanger.dsm	flanger: swept all-pass chain, 0.3 feedback, wet mix
5	PHASER	0	84	106	14	4	1	modulation	medium	prog05_phaser.dsm	phaser: LFO-swept first-order all-pass chain (~0.438 +/-0.025), 0.3 feedback
6	ENSEMBLE	0	84	96	15	0	1	modulation	medium	prog06_ensemble.dsm	ensemble: multi-voice chorus
8	GATED REVERB	0	84	102	22	7	1	reverb	medium	prog08_gated_reverb.dsm	gated reverb: all-pass ring + hold gate
9	SINGLE DELAY	0	84	48	18	12	1	delay	high	prog09_single_delay.dsm	single delay: 0.5 mix, 0.15/0.3 feedback
10	MULTI TAP DELAY	0	84	68	18	10	1	delay	high	prog10_multi_tap_delay.dsm	multi-tap delay: panning taps (partial-cursor-rewind idiom, effect-map 5.1)
15	ROCK ROTARY	0	84	86	33	6	2	rotary	high	prog15_rock_rotary.dsm	rock rotary / rotary speaker (shared with algo 53)
16	ROOM REVERB 1	1	200	133	33	33	12	reverb	SOLVED	prog16_room_reverb_1.dsm	reverb tank: two ladders of 5 all-pass diffusers + damping (decoded to the bit); the ONLY unit-1 image, shared by the 12 reverb presets algos 16-27
32	DISTORTION	0	84	42	6	4	1	distortion	high	prog32_distortion.dsm	distortion: AGC waveshaper, curve A
33	OVERDRIVE	0	84	63	18	4	1	distortion	high	prog33_overdrive.dsm	overdrive: waveshaper + smoother + 4kHz Butterworth tone
34	FUZZ	0	84	42	6	4	1	distortion	high	prog34_fuzz.dsm	fuzz: rail-clip waveshaper
35	EXCITER	0	84	69	22	18	1	exciter	high	prog35_exciter.dsm	harmonic exciter: LUT -> band-pass -> +dry
36	COMPRESSOR	0	84	40	10	1	1	dynamics	medium	prog36_compressor.dsm	compressor: envelope detector (C40) + gain-computer (THRESHOLD/RATIO)
39	PARAMETRIC EQ	0	84	105	60	60	1	eq	SOLVED	prog39_parametric_eq.dsm	parametric EQ: 5 bands x 2 channels, Direct-Form-I bilinear biquad (decoded to the bit); the reference program
48	AUTO PAN	0	84	50	8	2	1	am	high	prog48_auto_pan.dsm	auto pan: quadrature LFO amplitude panner
50	VIBRATO	0	84	53	12	2	1	modulation	high	prog50_vibrato.dsm	vibrato: wet-only modulated delay
52	AUTO WAH	0	84	72	13	6	1	filter	medium	prog52_auto_wah.dsm	auto wah: envelope-swept resonator
54	RING MODULATOR	0	84	46	6	0	1	am	high	prog54_ring_modulator.dsm	ring modulator: audio-rate quadrature AM
56	MIX UP	0	84	64	15	2	1	modulation	medium	prog56_mix_up.dsm	mix up: burst vibrato (sin.sin product modulators)
64	S.DELAY+CHORUS	0	84	95	23	6	1	combi	high	prog64_s_delay_chorus.dsm	single delay + chorus
65	S.DELAY+S.DELAY	0	84	68	16	4	1	delay	high	prog65_s_delay_s_delay.dsm	single delay + single delay (dual mono)
66	S.DELAY+FLANGER	0	84	100	28	6	1	combi	medium	prog66_s_delay_flanger.dsm	single delay + flanger
67	S.DELAY+VIBRATO	0	84	86	22	6	1	combi	high	prog67_s_delay_vibrato.dsm	single delay + vibrato
68	S.DELAY+PHASER	0	84	110	22	8	1	combi	medium	prog68_s_delay_phaser.dsm	single delay + phaser (keeps the two all-pass markers)
70	AUTO WAH+S.DELAY	0	84	105	21	7	1	combi	medium	prog70_auto_wah_s_delay.dsm	auto wah + single delay
71	PEQ+CHORUS	0	84	93	31	17	1	combi	high	prog71_peq_chorus.dsm	1-band flat PEQ + chorus
72	PEQ+S.DELAY	0	84	54	20	14	1	combi	high	prog72_peq_s_delay.dsm	1-band flat PEQ + single delay
73	PEQ+FLANGER	0	84	91	32	17	1	combi	high	prog73_peq_flanger.dsm	1-band flat PEQ + flanger
74	PEQ+VIBRATO	0	84	77	26	16	1	combi	high	prog74_peq_vibrato.dsm	1-band flat PEQ + vibrato
75	PEQ+COMPRESSOR	0	84	59	22	13	1	combi	high	prog75_peq_compressor.dsm	1-band flat PEQ + compressor (+4 cursor/host offset, effect-map 5.2)
96	PEQ+COMPR+DIST	0	84	90	30	16	1	combi	high	prog96_peq_compr_dist.dsm	PEQ + compressor + distortion
97	PEQ+COMPR+OVERDR	0	84	97	36	17	1	combi	high	prog97_peq_compr_overdr.dsm	PEQ + compressor + overdrive (overdrive tone biquad present)
98	PEQ+DIST+DELAY	0	84	92	28	20	1	combi	high	prog98_peq_dist_delay.dsm	PEQ + distortion + delay
99	PEQ+OVERDR+DELAY	0	84	104	40	22	1	combi	high	prog99_peq_overdr_delay.dsm	PEQ + overdrive + delay (4 biquad sections: 2 flat PEQ + 2 copies of OVERDRIVE, byte-for-byte)
